ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
1,Next Project Pembuatan Aplikasi Android untuk Membaca File Pdf,Android,"Rp 500,000 - 1,000,000",3,"Berikut list pengerjaannya : 1. Menampilkan notifikasi proses download dokumen 2. Memperbaiki tombol back press kembali ke halaman sebelumnya 3. Membuat local storage untuk kategori,subkategori dan daftar dokumen 4. Perbaikan tampilan",,,,,,,,,,,,,,,,,,,,
2,LAPORAN LKPM,Content Writer,"Rp 1,000,000 - 3,000,000",14,Dibutuhkan seseorang yang dapat saya beri kuasa unuk melakukan Pelaporan LKPM. Dan problem solver berkaitan kendala birokrasi perizinan.          Open Diskusi terlebih dahulu dan negotiable.,,,,,,,,,,,,,,,,,,,,
3,Pembuatan Aplikasi Taking Order Dari Aplikasi ISX Untuk Distributor,Android,"Rp 2,000,000 - 7,000,000",7,"Buat aplikasi taking order yang memunculkan stock gudang, harga barang, multi satuan, diskon item, diskon faktur.",,,,,,,,,,,,,,,,,,,,
4,Tiktok Content Creator untuk Brand Tas Cwe,Social Media,"Rp 500,000 - 1,500,000",7,Dicari Konten Creator untuk brand tas cwe  syarat sudah sering buat konten & fyp bisa di buktikan dengan hasil videonay atau profile tiktok Durasi Video - 10-20s ( tergantung konten yang lagi viral) Jumlah video 20-30  wajib sertakan WA,,,,,,,,,,,,,,,,,,,,
5,Membuat Artikel di Media Online,Content Writer,"Rp 350,000 - 1,500,000",7,Pekerjaan  Membuat artikel di salah satu media ternama menggunakan referensi materi dari kami hingga  terposting / dipublish   di media tersebut Memposting di  Media Online / Blog  ternama hingga terbit Seperti Liputan6 Tribunnews Detik CNN Kompas Aktual ChannelIndonesia Jabodetabek InfoWargaNet LiveJournal dll Membuat Artikel Berkualitas (BUKAN ASAL COPY PASTE) Total Artikel : 1 Banyak kata :  Bebas (Sesuai Pedoman Minimal Standarisasi Membuat 1 Artikel) Niche / Tema / Topik Game Online / Dunia IT Deadline : 7 Days Lampirkan Link Artikel / Portfolio yg telah kalian buat di media andalan kalian untuk menjadi bahan pertimbangan saya dalam memilih WORKER Terima kasih Projects...,,,,,,,,,,,,,,,,,,,,
6,Cari Akun Canva Creator Template,UI/UX Design,"Rp 1,000,000 - 4,000,000",5,"Yang punya akun canva creator template yg ngangur/tidak terpakai boleh tawarkan, harga bisa dibicarakan. Akun yg ada tulisan seperti ini.",,,,,,,,,,,,,,,,,,,,
7,seo writer content penulis,Search Engine Optimization (SEO),"Rp 9,000,000 - 10,000,000",30,"Dengan hormat     Saat ini kami membutuhkan worker expert dengan kriteria     Memahami seo     Bisa menterjemahkan tool audit neil patel,sem rush, kwfinder, dll     Memahami search console dan page speed google serta google index     Memahami copy writer        Untuk dapat melakukan seo 3 keyword di 1 website dengan target seo score 90",,,,,,,,,,,,,,,,,,,,
8,Bikin tombol shutter untuk kamera DSLR/Mirrorles,Electronic,"Rp 500,000 - 1,000,000",7,Bikin tombol momentary untuk kamera. Press ON to Shutter. Release OFF,,,,,,,,,,,,,,,,,,,,
9,Tambah Fitur Import Data Pada Web Aplikasi,Web Programming,"Rp 150,000 - 250,000",5,"Halo saya mau membuat fitur import data absensi pada web aplikasi saya. Saya memiliki web aplikasi yang dibuat menggunakan codeigniter dan mysql database, dan di dalamnya terdapat fitur absensi tetapi belum ada opsi import absensi dari file excel. Saya ingin anda membuatkan fitur import tersebut sehingga data absensi di web aplikasi bisa diunggah dari file excel.",,,,,,,,,,,,,,,,,,,,
10,Dicari Akun Google Adsense Indonesia Non Hosted untuk Web,Wordpress,"Rp 1,000,000 - 3,000,000",66,Dicari Akun Google Adsense Indonesia Non Hosted Lama kalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2. untuk yg baru diusahakan ada domain yg terhubung. Tulis Spek: ✅ Adsense untuk blog/website ✅ Email utama ✅ Iklan tayang 100% ✅ Infokan sudah PO/Pin atau fresh ✅ apakah ada domain yg terhubung Mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.,,,,,,,,,,,,,,,,,,,,
11,Membuat Frontend Mobile Apps Menggunakan Flutter dan Integrasi API,Flutter,"Rp 1,000,000 - 1,400,000",9,- Create flow wireframe menggunakan figma berdasarkan dengan template UI dan flow yang diberikan Daftar integrasi API dengan fitur mobile APP : 1. Role Cabang - Login User (Akses akan dibuatkan oleh admin dashboard) - Input Order / Pengajuan Order - Tracking informasi status Order (List Order yang diinput) - Cek Total Komisis yang di dapatkan per order (Total Komisi dan list komisi per list order) - List pengajuan withdarawal berdasarakan total komisi yang ada - Halaman home ada news/info list berupa slider  - Update info profile / ganti password 2...,,,,,,,,,,,,,,,,,,,,
12,bantu saya test emulator android pc untuk ganti nomor aplikasi dana menggunakan emulator,Android,"Rp 500,000 - 1,000,000",3,"saya sedang mencari worker yang bisa membantu saya uji coba segala jenis emulator yang tersedia. tujuannya saya ingin mengganti nomor akun dana saya menggunakan emulator android pc,  bagi yang bisa akan saya berikan bayaran sesuai dengan yang di sharingkan. untuk lebih jelasnya bisa hubungi inbox ke akun saya.",,,,,,,,,,,,,,,,,,,,
13,Research Development Menu Catering,Business Analysis,"Rp 200,000 - 400,000",7,Butuh freelancer yang berkompeten di Research Development untuk menampilkan menu2 yang cocok untuk bisnis katering bernama Cateringaja (IG @cateringaja). Menu sudah ada tinggal dianalisa saja. Diutamakan yang berpengalaman di R&D. Silahkan bid.,,,,,,,,,,,,,,,,,,,,
14,Menyebarkan Kuesioner Penelitian,Advertising,"Rp 200,000 - 325,000",7,"Saya bermaksud melakukan penelitian ilmiah dalam rangka untuk menyelesaikan tugas akhir, membutuhkan seseorang untuk melakukan penyebaran kuesioner penelitian.           Kriteria responden sebagai berikut:                      Berusia minimal 25 tahun ke atas (30 tahun ke atas atau lebih direkomendasikan). Responden bukan pelajar/mahasiswa. Responden sudah pernah ikut serta dalam pemilu. Total responden 60 orang.                                    Bagi yg berminat bisa chat langsung untuk info lebih lanjut...",,,,,,,,,,,,,,,,,,,,
